a,dureeFeu,ecarts
2.0,28.0,169.05957267421405
2.0,28.8,123.39105391382958
2.0,29.6,73.16082549913054
2.0,30.4,116.52226270232543
2.0,31.2,165.51189741393412
2.0,32.0,173.2457421541223
2.0,32.8,85.92647198672204
2.0,33.6,75.90335819513456
2.0,34.4,109.48900824643948
2.0,35.2,150.0381592578297
2.07,28.0,168.41116194630607
2.07,28.8,122.06196126592167
2.07,29.6,72.06339840862167
2.07,30.4,115.63366155154392
2.07,31.2,164.81661739407505
2.07,32.0,146.07670947699438
2.07,32.8,54.615106537850934
2.07,33.6,75.00090626187067
2.07,34.4,108.89997656926295
2.07,35.2,150.24071398805933
2.14,28.0,143.3619708922546
2.14,28.8,40.52770203650235
2.14,29.6,71.1547818385857
2.14,30.4,114.98316198025148
2.14,31.2,164.17469190676258
2.14,32.0,108.5383493822771
2.14,32.8,54.43988710009942
2.14,33.6,74.29591549362003
2.14,34.4,108.8853868667138
2.14,35.2,135.87993739846053
2.21,28.0,121.5785113828349
2.21,28.8,40.23492408306794
2.21,29.6,70.60793886302811
2.21,30.4,114.07094668477102
2.21,31.2,164.58268666009582
2.21,32.0,109.1015975976795
2.21,32.8,54.278334432751414
2.21,33.6,73.85399201987657
2.21,34.4,107.85276932427429
2.21,35.2,98.71570664918389
2.2800000000000002,28.0,91.97971256980297
2.2800000000000002,28.8,39.790417934804466
2.2800000000000002,29.6,69.97146884812435
2.2800000000000002,30.4,112.9578016789045
2.2800000000000002,31.2,137.06915278889025
2.2800000000000002,32.0,35.36856392135438
2.2800000000000002,32.8,54.27082034089641
2.2800000000000002,33.6,73.96557244011372
2.2800000000000002,34.4,106.88700650946826
2.2800000000000002,35.2,94.4962107187103
2.35,28.0,91.26996936581213
2.35,28.8,39.351032183348885
2.35,29.6,69.37133246756532
2.35,30.4,111.92378876203452
2.35,31.2,113.78458009543226
2.35,32.0,35.55499731229633
2.35,32.8,54.30624254827998
2.35,33.6,74.19743501316019
2.35,34.4,106.13990901860024
2.35,35.2,72.79663316590401
2.42,28.0,58.186887471306065
2.42,28.8,39.17071219024698
2.42,29.6,68.58155438686912
2.42,30.4,111.13358492622348
2.42,31.2,86.30326674759766
2.42,32.0,35.72885743245361
2.42,32.8,54.33215283494811
2.42,33.6,74.00876519719411
2.42,34.4,79.62564986192173
2.42,35.2,27.28369724327026
2.49,28.0,17.26704643092249
2.49,28.8,38.93190428822905
2.49,29.6,67.66132138383372
2.49,30.4,110.6081530887172
2.49,31.2,85.61272433543866
2.49,32.0,35.794102038417215
2.49,32.8,54.40792351579792
2.49,33.6,73.64736146603718
2.49,34.4,53.0463744582575
2.49,35.2,26.61280020949349
2.56,28.0,17.063720278579183
2.56,28.8,38.541518201404294
2.56,29.6,66.9665293061234
2.56,30.4,91.09264590297428
2.56,31.2,38.41757694653897
2.56,32.0,35.73275927219924
2.56,32.8,54.695699593625804
2.56,33.6,73.38690689864457
2.56,34.4,49.272267225770506
2.56,35.2,25.97967470413241
2.6300000000000003,28.0,16.909879744646645
2.6300000000000003,28.8,38.20682453858773
2.6300000000000003,29.6,66.50144530606931
2.6300000000000003,30.4,71.02197265353331
2.6300000000000003,31.2,25.92656199475806
2.6300000000000003,32.0,35.722269952824675
2.6300000000000003,32.8,54.826307044354955
2.6300000000000003,33.6,73.07993496268148
2.6300000000000003,34.4,49.02145833390271
2.6300000000000003,35.2,25.398185635556416
