ID,physique,v_0,T,a,b,delta,l,s_0,s_1
2383,x:216.54600311806718;vx:8.107085636823541;ax:0.41017089206590707;s_star:17.923612660079797,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2384,x:187.3752725576941;vx:7.117599010079763;ax:-0.03671182070464084;s_star:17.419152768683066,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2385,x:160.7699917864624;vx:6.966532367181002;ax:0.03188897836032541;s_star:16.077710718628495,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2386,x:135.7863560466909;vx:6.751452544022453;ax:0.031005698442200105;s_star:15.762262348178561,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2387,x:112.16038425799016;vx:6.546208780053978;ax:0.03604316273135413;s_star:15.37307652476141,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2388,x:33.7850493153994;vx:0.027582820748645383;ax:-0.005954300963961634;s_star:2.216908288230201,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2389,x:27.334576458086936;vx:0.09061912301470015;ax:-0.019669459196964754;s_star:2.457521501452114,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2390,x:20.564969725901417;vx:0.20168095967011498;ax:-0.042594257177893474;s_star:2.7866404471654587,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2391,x:13.380760381445977;vx:0.37138051934752786;ax:-0.07472702611506331;s_star:3.2181591304384467,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2392,x:5.6601702053463585;vx:0.6711045971762226;ax:-0.36498209853478836;s_star:3.896883401284736,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2393,x:-8.162503031280549;vx:6.063176315334348;ax:-0.027284770335599316;s_star:8.422430813348537,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2394,x:-25.69358931965512;vx:4.217357026975794;ax:0.4623699671667064;s_star:12.265854614938286,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2395,x:-40.28981263710867;vx:3.529948908098133;ax:0.3050872558378216;s_star:10.029959339665005,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2396,x:-53.22411160762928;vx:2.736336327836057;ax:0.3649614850579592;s_star:8.479625540599718,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2397,x:-64.41500478189108;vx:1.9809588033629109;ax:0.3242850534168296;s_star:6.894038212635094,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2398,x:-74.13322272528559;vx:1.3610386942056614;ax:0.26052080294297847;s_star:5.53598888265036,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2399,x:-82.73546278641156;vx:0.9013065017235206;ax:0.18798453013617103;s_star:4.499006734808379,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2400,x:-90.583415135829;vx:0.600144562974598;ax:0.11867228340353952;s_star:3.795116747864147,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2401,x:-97.99578453005553;vx:0.43339382124516507;ax:0.06293849629778304;s_star:3.3891509473956734,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2402,x:-105.2144103624023;vx:0.36339227189309925;ax:0.025000617976345767;s_star:3.2119621646072702,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2403,x:-112.39773777591265;vx:0.3543242329338296;ax:0.0016885992153865548;s_star:3.1861789691898244,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2404,x:-119.64078955691505;vx:0.38204505493427265;ax:-0.012792134494462024;s_star:3.252158493946607,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2405,x:-127.00210203272219;vx:0.43393788713028014;ax:-0.02307276623487028;s_star:3.3755299012135125,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2406,x:-134.52385875946027;vx:0.5051046274814007;ax:-0.03211230972815061;s_star:3.5412001622719043,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2407,x:-142.24422539972903;vx:0.5954678394680295;ax:-0.041911576049210905;s_star:3.7461402325962996,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2408,x:-150.20549399648468;vx:0.7086527944469748;ax:-0.05433887957990484;s_star:3.9956615171370173,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2409,x:-158.46185124701097;vx:0.8527498662232712;ax:-0.07220951816519758;s_star:4.3037539190059295,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2410,x:-167.09207550553424;vx:1.0453869606397936;ax:-0.10421415544230951;s_star:4.70138993164887,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2411,x:-176.2705668251549;vx:1.4156806355216174;ax:-0.34486216150766397;s_star:5.414148531600083,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2412,x:-187.35584443689922;vx:3.1507553477805765;ax:-1.0165210789960268;s_star:7.920387268860341,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2413,x:-201.09995346123276;vx:3.3812938022046177;ax:0.36047779647577893;s_star:9.177756238234362,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2414,x:-213.78577817298836;vx:2.712014969021386;ax:0.2576702294992946;s_star:8.371118122539453,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2415,x:-225.30266787274886;vx:2.2327858614363594;ax:0.21129453793991282;s_star:7.313258496723187,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2416,x:-235.8941935765372;vx:1.8187197362106204;ax:0.18640157405665259;s_star:6.442980139484072,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2417,x:-245.69302358663248;vx:1.4660217029675588;ax:0.15620027840655729;s_star:5.693653240870521,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2418,x:-254.8468917042148;vx:1.1843473871885803;ax:0.12236502734804194;s_star:5.0833790688627865,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2419,x:-263.5136924505294;vx:0.9759285065686208;ax:0.08871558289355405;s_star:4.622894322777876,8.33,1.6,3.92,2.0,4.0,4.0,2.0,3.0
2420,x:-271.8450001149591;vx:0.8356821887668656;ax:0.05832659900156706;s_star:4.307037213010433,8.33,1.6,3.92,2,4,4,2,3
2421,x:-279.9738720904733;vx:0.7538030562296264;ax:0.03288869300068573;s_star:4.118882238049819,8.33,1.6,3.92,2,4,4,2,3
2422,x:-288.0090788150957;vx:0.7188952235142247;ax:0.012631380640920372;s_star:4.035765308387669,8.33,1.6,3.92,2,4,4,2,3
2423,x:-296.0354500002127;vx:0.7205858725546891;ax:-0.0032564434439883347;s_star:4.035139184677425,8.33,1.6,3.92,2,4,4,2,3
2424,x:-304.11824458307626;vx:0.7509492419646756;ax:-0.01603612211883597;s_star:4.098527020393495,8.33,1.6,3.92,2,4,4,2,3
2425,x:-312.3090121683452;vx:0.804848378240004;ax:-0.027007588675979327;s_star:4.213072924604566,8.33,1.6,3.92,2,4,4,2,3
2426,x:-320.65127385996954;vx:0.8797309422329038;ax:-0.03736622500653421;s_star:4.371477578532382,8.33,1.6,3.92,2,4,4,2,3
2427,x:-329.1854847409133;vx:0.9753695430603233;ax:-0.048260791067006634;s_star:4.571425024800983,8.33,1.6,3.92,2,4,4,2,3
2428,x:-337.95354385217115;vx:1.0938787502392582;ax:-0.06101263064356661;s_star:4.815338802826018,8.33,1.6,3.92,2,4,4,2,3
2429,x:-347.0037172036799;vx:1.2403914032175825;ax:-0.07765194392367905;s_star:5.111238501789575,8.33,1.6,3.92,2,4,4,2,3
2430,x:-356.3980370000337;vx:1.4255721437967381;ax:-0.1026409149253975;s_star:5.476629807913411,8.33,1.6,3.92,2,4,4,2,3
2431,x:-366.2273643965846;vx:1.6717576691758957;ax:-0.1438426265246278;s_star:5.947662622000843,8.33,1.6,3.92,2,4,4,2,3
2432,x:-376.61589874065635;vx:1.984281378808442;ax:-0.16394931131470372;s_star:6.530866796208069,8.33,1.6,3.92,2,4,4,2,3
2433,x:-387.5365531899661;vx:2.195930781923759;ax:-0.051740989037283656;s_star:6.971591676420531,8.33,1.6,3.92,2,4,4,2,3
2434,x:-398.54717142479444;vx:2.127875773548665;ax:0.07911417008529831;s_star:6.9454575513080465,8.33,1.6,3.92,2,4,4,2,3
2435,x:-409.1856721114104;vx:1.8974363954543927;ax:0.1222865751930216;s_star:6.543723268472076,8.33,1.6,3.92,2,4,4,2,3
2436,x:-419.3037365327934;vx:1.6444419521848637;ax:0.11863856674116315;s_star:6.036246539299573,8.33,1.6,3.92,2,4,4,2,3
2437,x:-428.93445254170234;vx:1.4223290043120809;ax:0.10011336773125627;s_star:5.569965652529422,8.33,1.6,3.92,2,4,4,2,3
2438,x:-438.16650174119866;vx:1.2455273418270065;ax:0.07798920312537573;s_star:5.190751325043888,8.33,1.6,3.92,2,4,4,2,3
2439,x:-447.0988345448947;vx:1.1152745484102975;ax:0.056369490186270015;s_star:4.907014792041253,8.33,1.6,3.92,2,4,4,2,3
2440,x:-455.8250827990639;vx:1.027804693336147;ax:0.03692727846755082;s_star:4.713613199602519,8.33,1.6,3.92,2,4,4,2,3
2441,x:-464.4276188235601;vx:0.9774441495319897;ax:0.02023464592718775;s_star:4.599952935815784,8.33,1.6,3.92,2,4,4,2,3
2442,x:-472.97585365003863;vx:0.9582070486614213;ax:0.006243875983873108;s_star:4.553786304782525,8.33,1.6,3.92,2,4,4,2,3
2443,x:-481.5268884743966;vx:0.9646966486054844;ax:-0.005428525794219725;s_star:4.56342856339297,8.33,1.6,3.92,2,4,4,2,3
2444,x:-490.12739111748067;vx:0.9925252204501138;ax:-0.015297641626861579;s_star:4.618951115203938,8.33,1.6,3.92,2,4,4,2,3
2445,x:-498.8158741181515;vx:1.038394873437826;ax:-0.023875662466167836;s_star:4.712588830445294,8.33,1.6,3.92,2,4,4,2,3
2446,x:-507.62482812797447;vx:1.0999673681275381;ax:-0.03159129089624625;s_star:4.838606017216479,8.33,1.6,3.92,2,4,4,2,3
2447,x:-516.5823754750573;vx:1.1755969432226316;ax:-0.03872712525518997;s_star:4.99280757837017,8.33,1.6,3.92,2,4,4,2,3
2448,x:-525.7131643577706;vx:1.2639048187520159;ax:-0.04531672175494348;s_star:5.171715187828093,8.33,1.6,3.92,2,4,4,2,3
2449,x:-535.0380302592854;vx:1.3630150155118408;ax:-0.050893478819171396;s_star:5.371134920213165,8.33,1.6,3.92,2,4,4,2,3
2450,x:-544.571332991554;vx:1.468983678432362;ax:-0.05389837342822803;s_star:5.583334525542101,8.33,1.6,3.92,2,4,4,2,3
2451,x:-554.3137160798967;vx:1.5727236806611218;ax:-0.050766927710177115;s_star:5.791635614151462,8.33,1.6,3.92,2,4,4,2,3
2452,x:-564.2379736228947;vx:1.6563533547510803;ax:-0.036515222923045716;s_star:5.963798707206434,8.33,1.6,3.92,2,4,4,2,3
2453,x:-574.2734448459673;vx:1.6958453458669231;ax:-0.010288056089364481;s_star:6.055171766528329,8.33,1.6,3.92,2,4,4,2,3
2454,x:-584.3098920732286;vx:1.6761854598603467;ax:0.01946810763483028;s_star:6.033184995109862,8.33,1.6,3.92,2,4,4,2,3
2455,x:-594.2330407051287;vx:1.604395233057278;ax:0.04161250196775212;s_star:5.903479286635476,8.33,1.6,3.92,2,4,4,2,3
2456,x:-603.9646344166911;vx:1.5030962456438748;ax:0.0516357212604299;s_star:5.705587838137421,8.33,1.6,3.92,2,4,4,2,3
2457,x:-613.475965539671;vx:1.3955604085858508;ax:0.051488563388864345;s_star:5.486691866833546,8.33,1.6,3.92,2,4,4,2,3
2458,x:-622.7178335735689;vx:1.2556398235969841;ax:0.07318450634389127;s_star:5.203778364763292,8.33,1.6,3.92,2,4,4,2,3
